,Title,Ratings,Reviews,Runtime,Budget,World_Gross,Profit_Return,Genre1,Genre2,Genre3
41780,Hidden Figures,7.8,171131,127.0,25000000,231771716,9.27086864,Biography,Drama,History
3456,Ice Age: Continental Drift,6.6,175601,88.0,95000000,879765137,9.26068565263158,Adventure,Animation,Comedy
9758,Step Up,7.7,59,55.0,12000000,110989157,9.249096416666667,Biography,Documentary,Drama
41839,Manchester by the Sea,7.8,214557,137.0,8500000,77733867,9.145160823529412,Drama,,
41198,Book Club,6.6,9,72.0,10000000,91113683,9.1113683,Documentary,,
34366,The Kids Are All Right,7.0,120656,106.0,4000000,36275469,9.06886725,Comedy,Drama,Romance
20489,12 Years a Slave,8.1,577301,134.0,20000000,181025343,9.05126715,Biography,Drama,History
25774,Bridesmaids,6.8,249501,125.0,32500000,289632023,8.911754553846153,Comedy,Romance,
8305,The Descendants,7.3,223464,115.0,20000000,175507800,8.77539,Comedy,Drama,
19644,Begin Again,7.0,57,68.0,8000000,68838736,8.604842,Drama,Family,
19670,Begin Again,7.4,129884,104.0,8000000,68838736,8.604842,Comedy,Drama,Music
25805,Project X,6.7,177782,88.0,12000000,103028188,8.585682333333333,Comedy,,
34887,Jackass 3D,7.0,53289,95.0,20000000,171685793,8.58428965,Action,Comedy,Documentary
20432,No Escape,6.8,70222,103.0,5000000,42844516,8.5689032,Action,Thriller,
8707,The Help,8.1,392699,146.0,25000000,213120004,8.52480016,Drama,,
3102,Frozen,7.5,516998,102.0,150000000,1272469910,8.483132733333333,Adventure,Animation,Comedy
2492,The Hunger Games,7.2,795227,142.0,80000000,677923379,8.4740422375,Action,Adventure,Sci-Fi
41984,Sing,7.1,115951,108.0,75000000,634454789,8.459397186666667,Animation,Comedy,Family
27658,Still Alice,7.5,116832,101.0,5000000,41699612,8.3399224,Drama,,
36552,The Theory of Everything,7.7,361534,123.0,15000000,123327692,8.221846133333333,Biography,Drama,Romance
29677,Winter's Bone,7.2,127751,100.0,2000000,16131551,8.0657755,Drama,Mystery,
11381,The Artist,7.9,217184,100.0,16000000,128256712,8.0160445,Comedy,Drama,Romance
31782,Furious 7,7.2,335074,137.0,190000000,1518722794,7.9932778631578945,Action,Crime,Thriller
38397,Crazy Rich Asians,7.0,96617,120.0,30000000,238099711,7.936657033333334,Comedy,Romance,
5025,Despicable Me,7.7,464511,95.0,69000000,543464573,7.87629815942029,Animation,Comedy,Family
17550,Beauty and the Beast,7.2,238325,129.0,160000000,1259199706,7.8699981625,Family,Fantasy,Musical
37032,Lady Bird,7.4,177677,94.0,10000000,78610769,7.8610769,Comedy,Drama,
32637,Before Midnight,7.9,123107,109.0,3000000,23251930,7.7506433333333336,Drama,Romance,
12,Jurassic World,7.0,539338,124.0,215000000,1648854864,7.669092390697674,Action,Adventure,Sci-Fi
8772,The Lego Movie,7.8,304179,100.0,60000000,457729388,7.628823133333333,Action,Adventure,Animation
26505,Don Jon,6.6,216350,90.0,5500000,41268579,7.503378,Comedy,Drama,Romance
12227,About Time,7.8,263136,123.0,12000000,89309178,7.4424315,Comedy,Drama,Fantasy
19642,Venom,6.7,275406,112.0,116000000,853628605,7.358867284482758,Action,Sci-Fi,Thriller
44704,The Butterfly Effect,6.9,104,85.0,13000000,95638592,7.356814769230769,Comedy,Crime,Drama
