,Title,Latitude,Longitude,Profit_Return
96,La La Land,33.7689963,-118.1706056,21.31755815
97,La La Land,34.0905991,-118.3246754,21.31755815
98,La La Land,34.3916641,-118.542586,21.31755815
99,La La Land,34.149365,-118.337742,21.31755815
100,La La Land,34.0817802,-118.3891144,21.31755815
101,La La Land,34.0763,-118.3688492,21.31755815
102,La La Land,34.0978781,-118.3204198,21.31755815
103,La La Land,34.059311,-118.2999549,21.31755815
104,La La Land,34.0327381,-118.3571244,21.31755815
105,La La Land,34.223295,-118.454551,21.31755815
106,La La Land,34.0897788,-118.3355073,21.31755815
107,La La Land,34.06047940000001,-118.2807571,21.31755815
108,La La Land,34.0471043,-118.2479757,21.31755815
109,La La Land,34.0522342,-118.2436849,21.31755815
110,La La Land,34.153285,-118.5009482,21.31755815
111,La La Land,34.1331115,-118.485233,21.31755815
112,La La Land,34.1333471,-118.1683342,21.31755815
113,La La Land,34.4079791,-118.546808,21.31755815
114,La La Land,34.2183389,-118.6402278,21.31755815
115,La La Land,34.2001189,-118.4552054,21.31755815
116,La La Land,34.1686778,-118.0963514,21.31755815
117,La La Land,37.09024,-95.712891,21.31755815
118,La La Land,34.0804819,-118.412294,21.31755815
119,It,44.8016128,-68.7712257,19.927370542857144
120,It,43.683715,-80.43054269999999,19.927370542857144
121,It,43.8970929,-78.86579119999999,19.927370542857144
122,It,43.9491784,-78.2934468,19.927370542857144
123,It,43.653226,-79.3831843,19.927370542857144
124,It,43.6714675,-79.3421992,19.927370542857144
125,It,43.586796,-80.48237499999999,19.927370542857144
126,It,43.2557206,-79.8711024,19.927370542857144
127,It,43.83841169999999,-79.0867579,19.927370542857144
128,It,43.6491712,-79.3429501,19.927370542857144
129,It,43.7030434,-79.5150597,19.927370542857144
130,It,56.130366,-106.346771,19.927370542857144
131,It,49.2827291,-123.1207375,19.927370542857144
132,It,37.09024,-95.712891,19.927370542857144
133,It,41.8781136,-87.6297982,19.927370542857144
134,A Quiet Place,43.0434039,-74.8595957,19.677782
135,A Quiet Place,41.5796695,-73.5829689,19.677782
136,A Quiet Place,41.7475933,-74.0868095,19.677782
137,A Quiet Place,41.5048158,-73.9695832,19.677782
138,Fruitvale Station,37.8043514,-122.2711639,19.499605555555554
139,Fruitvale Station,37.7257663,-122.1568554,19.499605555555554
140,Fruitvale Station,37.9386291,-122.4898472,19.499605555555554
141,Fruitvale Station,37.7749295,-122.4194155,19.499605555555554
142,Fruitvale Station,36.778261,-119.4179324,19.499605555555554
143,Fruitvale Station,37.09024,-95.712891,19.499605555555554
144,Courageous,31.5785074,-84.15574099999999,17.592942
145,Blue Valentine,41.5736935,-75.5018508,16.56624
146,Blue Valentine,41.408969,-75.66241219999999,16.56624
147,Blue Valentine,41.6017554,-75.1498943,16.56624
148,Blue Valentine,40.7127753,-74.0059728,16.56624
149,Blue Valentine,41.2033216,-77.1945247,16.56624
150,Blue Valentine,37.09024,-95.712891,16.56624
